"","EEZ","Country","PNA_country","set_type","EEZ_total_catch","EEZ_total_days","LON5_D","LAT5_D"
"213","Solomon Islands Exclusive Economic Zone","Solomon Islands",TRUE,"OTH",0,317.58,160,-15
"214","Solomon Islands Exclusive Economic Zone","Solomon Islands",TRUE,"OTH",0,8596.92,160,-10
"215","Solomon Islands Exclusive Economic Zone","Solomon Islands",TRUE,"OTH",0,14379.82,160,-5
"216","Solomon Islands Exclusive Economic Zone","Solomon Islands",TRUE,"OTH",0,3931.03,165,-10
"217","Solomon Islands Exclusive Economic Zone","Solomon Islands",TRUE,"OTH",0,2802.32,170,-10
"218","Solomon Islands Exclusive Economic Zone","Solomon Islands",TRUE,"UNA",3571.814,317.58,160,-15
"219","Solomon Islands Exclusive Economic Zone","Solomon Islands",TRUE,"UNA",83350.226,8596.92,160,-10
"220","Solomon Islands Exclusive Economic Zone","Solomon Islands",TRUE,"UNA",121155.249,14379.82,160,-5
"221","Solomon Islands Exclusive Economic Zone","Solomon Islands",TRUE,"UNA",25191.593,3931.03,165,-10
"222","Solomon Islands Exclusive Economic Zone","Solomon Islands",TRUE,"UNA",19132.529,2802.32,170,-10
"223","South Korean Exclusive Economic Zone","South Korea",FALSE,"ASS",19.916,41.25,125,35
"224","South Korean Exclusive Economic Zone","South Korea",FALSE,"OTH",0,41.25,125,35
"225","South Korean Exclusive Economic Zone","South Korea",FALSE,"UNA",33.484,41.25,125,35
"226","Spratly Islands Exclusive Economic Zone","Spratly Islands",FALSE,"ASS",13385.306,13792.68,115,10
"227","Spratly Islands Exclusive Economic Zone","Spratly Islands",FALSE,"OTH",0,13792.68,115,10
"228","Spratly Islands Exclusive Economic Zone","Spratly Islands",FALSE,"UNA",12329.449,13792.68,115,10
"229","Tokelau Exclusive Economic Zone","Tokelau",FALSE,"ASS",27234.921,2240.64,-175,-10
"230","Tokelau Exclusive Economic Zone","Tokelau",FALSE,"ASS",21065.484,1134.57,-170,-10
"231","Tokelau Exclusive Economic Zone","Tokelau",FALSE,"OTH",0,2240.64,-175,-10
"232","Tokelau Exclusive Economic Zone","Tokelau",FALSE,"OTH",0,1134.57,-170,-10
"233","Tokelau Exclusive Economic Zone","Tokelau",FALSE,"UNA",39894.413,2240.64,-175,-10
"234","Tokelau Exclusive Economic Zone","Tokelau",FALSE,"UNA",19722.489,1134.57,-170,-10
"235","Tuvaluan Exclusive Economic Zone","Tuvalu",TRUE,"ASS",141853.792,10665.86,175,-5
"236","Tuvaluan Exclusive Economic Zone","Tuvalu",TRUE,"OTH",0,10665.86,175,-5
"237","Tuvaluan Exclusive Economic Zone","Tuvalu",TRUE,"UNA",171309.585,10665.86,175,-5
"238","Vanuatu Exclusive Economic Zone","Vanuatu",FALSE,"ASS",1820.626,74.98,165,-15
"239","Vanuatu Exclusive Economic Zone","Vanuatu",FALSE,"ASS",666.756,92.13,170,-15
"240","Vanuatu Exclusive Economic Zone","Vanuatu",FALSE,"OTH",0,74.98,165,-15
"241","Vanuatu Exclusive Economic Zone","Vanuatu",FALSE,"OTH",0,92.13,170,-15
"242","Vanuatu Exclusive Economic Zone","Vanuatu",FALSE,"UNA",701.975,74.98,165,-15
"243","Vanuatu Exclusive Economic Zone","Vanuatu",FALSE,"UNA",3349.776,92.13,170,-15
"244","Vietnamese Exclusive Economic Zone","Vietnam",FALSE,"ASS",13385.3,14275.75,110,10
"245","Vietnamese Exclusive Economic Zone","Vietnam",FALSE,"ASS",13384.896,14028.42,110,15
"246","Vietnamese Exclusive Economic Zone","Vietnam",FALSE,"OTH",0,14275.75,110,10
"247","Vietnamese Exclusive Economic Zone","Vietnam",FALSE,"OTH",0,14028.42,110,15
"248","Vietnamese Exclusive Economic Zone","Vietnam",FALSE,"UNA",12329.45,14275.75,110,10
"249","Vietnamese Exclusive Economic Zone","Vietnam",FALSE,"UNA",12329.184,14028.42,110,15
