SA_fleet	species	age_quarters	selectivity
P-ALL-8	YFT	12	0.14
P-ALL-8	YFT	13	0.14
P-ALL-8	YFT	14	0.16
P-ALL-8	YFT	15	0.19
P-ALL-8	YFT	16	0.21
P-ALL-8	YFT	17	0.21
P-ALL-8	YFT	18	0.24
P-ALL-8	YFT	19	0.24
P-ALL-8	YFT	20	0.26
P-ALL-8	YFT	21	0.26
P-ALL-8	YFT	22	0.26
P-ALL-8	YFT	23	0.26
P-ALL-8	YFT	24	0.26
P-ALL-8	YFT	25	0.26
P-ALL-8	YFT	26	0.26
P-ALL-8	YFT	27	0.26
P-ALL-8	YFT	28	0.26
Misc-ID-7	YFT	1	1
Misc-ID-7	YFT	2	1
Misc-ID-7	YFT	3	0.73
Misc-ID-7	YFT	4	0.38
Misc-ID-7	YFT	5	0.21
Misc-ID-7	YFT	6	0.16
Misc-ID-7	YFT	7	0.13
Misc-ID-7	YFT	8	0.13
Misc-ID-7	YFT	9	0.13
Misc-ID-7	YFT	10	0.11
Misc-ID-7	YFT	11	0.08
Misc-ID-7	YFT	12	0.06
Misc-ID-7	YFT	13	0.06
Misc-ID-7	YFT	14	0.04
Misc-ID-7	YFT	15	0.04
Misc-ID-7	YFT	16	0.04
Misc-ID-7	YFT	17	0.04
Misc-ID-7	YFT	18	0.04
Misc-ID-7	YFT	19	0.04
Misc-ID-7	YFT	20	0
Misc-ID-7	YFT	21	0
Misc-ID-7	YFT	22	0
Misc-ID-7	YFT	23	0
Misc-ID-7	YFT	24	0
Misc-ID-7	YFT	25	0
Misc-ID-7	YFT	26	0
Misc-ID-7	YFT	27	0
Misc-ID-7	YFT	28	0
P-ALL-7	YFT	1	0.37
P-ALL-7	YFT	2	0.66
P-ALL-7	YFT	3	1
P-ALL-7	YFT	4	0.56
P-ALL-7	YFT	5	0.27
P-ALL-7	YFT	6	0.2
P-ALL-7	YFT	7	0.25
P-ALL-7	YFT	8	0.32
P-ALL-7	YFT	9	0.37
P-ALL-7	YFT	10	0.39
P-ALL-7	YFT	11	0.34
P-ALL-7	YFT	12	0.27
P-ALL-7	YFT	13	0.2
P-ALL-7	YFT	14	0.15
P-ALL-7	YFT	15	0.12
P-ALL-7	YFT	16	0.1
P-ALL-7	YFT	17	0.1
P-ALL-7	YFT	18	0.08
P-ALL-7	YFT	19	0.08
P-ALL-7	YFT	20	0.08
P-ALL-7	YFT	21	0.08
P-ALL-7	YFT	22	0.08
P-ALL-7	YFT	23	0.08
P-ALL-7	YFT	24	0.08
P-ALL-7	YFT	25	0.08
P-ALL-7	YFT	26	0.08
P-ALL-7	YFT	27	0.08
P-ALL-7	YFT	28	0.08
Misc-VN-7	YFT	1	1
Misc-VN-7	YFT	2	0.98
Misc-VN-7	YFT	3	0.74
Misc-VN-7	YFT	4	0.4
Misc-VN-7	YFT	5	0.22
Misc-VN-7	YFT	6	0.15
Misc-VN-7	YFT	7	0.15
Misc-VN-7	YFT	8	0.15
Misc-VN-7	YFT	9	0.13
Misc-VN-7	YFT	10	0.13
Misc-VN-7	YFT	11	0.1
Misc-VN-7	YFT	12	0.07
Misc-VN-7	YFT	13	0.05
Misc-VN-7	YFT	14	0.05
Misc-VN-7	YFT	15	0.05
Misc-VN-7	YFT	16	0.03
Misc-VN-7	YFT	17	0.03
Misc-VN-7	YFT	18	0.03
Misc-VN-7	YFT	19	0.03
Misc-VN-7	YFT	20	0.03
Misc-VN-7	YFT	21	0.03
Misc-VN-7	YFT	22	0.03
Misc-VN-7	YFT	23	0.03
Misc-VN-7	YFT	24	0.03
Misc-VN-7	YFT	25	0.03
Misc-VN-7	YFT	26	0.03
Misc-VN-7	YFT	27	0.03
Misc-VN-7	YFT	28	0.03
S-ASS-ALL-7	YFT	1	0.35
S-ASS-ALL-7	YFT	2	0.6
S-ASS-ALL-7	YFT	3	1
S-ASS-ALL-7	YFT	4	0.93
S-ASS-ALL-7	YFT	5	0.69
S-ASS-ALL-7	YFT	6	0.52
S-ASS-ALL-7	YFT	7	0.45
S-ASS-ALL-7	YFT	8	0.4
S-ASS-ALL-7	YFT	9	0.35
S-ASS-ALL-7	YFT	10	0.28
S-ASS-ALL-7	YFT	11	0.23
S-ASS-ALL-7	YFT	12	0.18
S-ASS-ALL-7	YFT	13	0.16
S-ASS-ALL-7	YFT	14	0.13
S-ASS-ALL-7	YFT	15	0.11
S-ASS-ALL-7	YFT	16	0.09
S-ASS-ALL-7	YFT	17	0.09
S-ASS-ALL-7	YFT	18	0.09
S-ASS-ALL-7	YFT	19	0.09
S-ASS-ALL-7	YFT	20	0.09
S-ASS-ALL-7	YFT	21	0.09
S-ASS-ALL-7	YFT	22	0.09
S-ASS-ALL-7	YFT	23	0.09
S-ASS-ALL-7	YFT	24	0.06
S-ASS-ALL-7	YFT	25	0.06
S-ASS-ALL-7	YFT	26	0.06
S-ASS-ALL-7	YFT	27	0.06
S-ASS-ALL-7	YFT	28	0.06
S-ID-PH-7	YFT	1	0.35
