SA_fleet	species	age_quarters	selectivity
S-ASS-ALL-3	BET	20	0
S-ASS-ALL-3	BET	21	0
S-ASS-ALL-3	BET	22	0
S-ASS-ALL-3	BET	23	0
S-ASS-ALL-3	BET	24	0
S-ASS-ALL-3	BET	25	0
S-ASS-ALL-3	BET	26	0
S-ASS-ALL-3	BET	27	0
S-ASS-ALL-3	BET	28	0
S-ASS-ALL-3	BET	29	0
S-ASS-ALL-3	BET	30	0
S-ASS-ALL-3	BET	31	0
S-ASS-ALL-3	BET	32	0
S-ASS-ALL-3	BET	33	0
S-ASS-ALL-3	BET	34	0
S-ASS-ALL-3	BET	35	0
S-ASS-ALL-3	BET	36	0
S-ASS-ALL-3	BET	37	0
S-ASS-ALL-3	BET	38	0
S-ASS-ALL-3	BET	39	0
S-ASS-ALL-3	BET	40	0
S-UNA-ALL-3	BET	1	0.04
S-UNA-ALL-3	BET	2	0.06
S-UNA-ALL-3	BET	3	0.17
S-UNA-ALL-3	BET	4	0.5
S-UNA-ALL-3	BET	5	0.98
S-UNA-ALL-3	BET	6	1
S-UNA-ALL-3	BET	7	0.74
S-UNA-ALL-3	BET	8	0.5
S-UNA-ALL-3	BET	9	0.37
S-UNA-ALL-3	BET	10	0.34
S-UNA-ALL-3	BET	11	0.41
S-UNA-ALL-3	BET	12	0.5
S-UNA-ALL-3	BET	13	0.63
S-UNA-ALL-3	BET	14	0.69
S-UNA-ALL-3	BET	15	0.65
S-UNA-ALL-3	BET	16	0.53
S-UNA-ALL-3	BET	17	0.34
S-UNA-ALL-3	BET	18	0.2
S-UNA-ALL-3	BET	19	0.1
S-UNA-ALL-3	BET	20	0.06
S-UNA-ALL-3	BET	21	0.02
S-UNA-ALL-3	BET	22	0.02
S-UNA-ALL-3	BET	23	0
S-UNA-ALL-3	BET	24	0
S-UNA-ALL-3	BET	25	0
S-UNA-ALL-3	BET	26	0
S-UNA-ALL-3	BET	27	0
S-UNA-ALL-3	BET	28	0
S-UNA-ALL-3	BET	29	0
S-UNA-ALL-3	BET	30	0
S-UNA-ALL-3	BET	31	0
S-UNA-ALL-3	BET	32	0
S-UNA-ALL-3	BET	33	0
S-UNA-ALL-3	BET	34	0
S-UNA-ALL-3	BET	35	0
S-UNA-ALL-3	BET	36	0
S-UNA-ALL-3	BET	37	0
S-UNA-ALL-3	BET	38	0
S-UNA-ALL-3	BET	39	0
S-UNA-ALL-3	BET	40	0
S-ASS-ALL-4	BET	1	0.07
S-ASS-ALL-4	BET	2	0.11
S-ASS-ALL-4	BET	3	0.34
S-ASS-ALL-4	BET	4	0.81
S-ASS-ALL-4	BET	5	1
S-ASS-ALL-4	BET	6	0.67
S-ASS-ALL-4	BET	7	0.35
S-ASS-ALL-4	BET	8	0.18
S-ASS-ALL-4	BET	9	0.11
S-ASS-ALL-4	BET	10	0.1
S-ASS-ALL-4	BET	11	0.1
S-ASS-ALL-4	BET	12	0.07
S-ASS-ALL-4	BET	13	0.05
S-ASS-ALL-4	BET	14	0.02
S-ASS-ALL-4	BET	15	0
S-ASS-ALL-4	BET	16	0
S-ASS-ALL-4	BET	17	0
